company_name,isin,symbol
Godrej Properties Ltd,INE484J01027,GODREJPROP.NS
Granules India Ltd,INE101D01020,GRANULES.NS
Graphite India Ltd.,INE371A01025,GRAPHITE.BO
Grasim Industries Ltd,INE047A01021,GRASIM.NS
The Great Eastern Shipping Company,INE017A01032,GESHIP.NS
Greaves Cotton Ltd.,INE224A01026,GREAVESCOT.NS
Greenlam Industries,INE544R01013,GREENLAM.NS
Grindwell Norton Ltd,INE536A01023,GRINDWELL.NS
Gujarat Alkalies and Chemicals,INE186A01019,GUJALKALI.NS
Gujarat Ambuja Exports Ltd,INE036B01022,GAEL.BO
Gujarat Fluorochemicals Ltd.,INE09N301011,FLUOROCHEM.NS
Gujarat Gas Ltd,INE844O01030,GUJGASLTD.NS
Gujarat Narmada Valley Fertilizers and Chemicals,INE113A01013,GNFC.NS
Gujarat Pipavav Port Ltd,INE517F01014,GPPL.NS
Gujarat State Fertilizers & Chemicals,INE026A01025,GSFC.NS
Gujarat State Petronet Ltd.,INE246F01010,GSPL.NS
Gulf Oil Lubricants India Ltd,INE635Q01029,GULFOILLUB.NS
H.G. Infra Engineering,INE926X01010,HGINFRA.NS
Hathway Cable & Datacom Ltd,INE982F01036,HATHWAY.NS
Hatsun Agro Product Ltd,INE473B01035,HATSUN.NS
Havells India Ltd,INE176B01034,HAVELLS.NS
HCL Technologies Ltd,INE860A01027,HCLTECH.NS
Housing Development Finance Corporation Ltd,INE001A01036,HDFC.NS
HDFC Asset Management Company Ltd,INE127D01025,HDFCAMC.NS
HDFC Bank Ltd,INE040A01034,HDFCBANK.NS
HDFC Life Insurance Company Ltd,INE795G01014,HDFCLIFE.NS
HEG Ltd.,INE545A01016,HEG.NS
HeidelbergCement India Ltd,INE578A01017,HEIDELBERG.NS
Hero MotoCorp Ltd,INE158A01026,HEROMOTOCO.NS
HFCL Ltd,INE548A01028,HFCL.NS
Himadri Speciality Chemical Ltd,INE019C01026,HSCL.NS
Hindalco Industries Ltd.,INE038A01020,HINDALCO.NS
Hindustan Aeronautics Ltd,INE066F01012,HAL.NS
Hindustan Copper Ltd,INE531E01026,HINDCOPPER.NS
Hindustan Petroleum Corporation Ltd,INE094A01015,HINDPETRO.NS
Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR.NS
Hindustan Zinc Ltd.,INE267A01025,HINDZINC.BO
Honeywell Automation India Ltd.,INE671A01010,HONAUT.NS
Housing & Urban Development Corporation,INE031A01017,HUDCO.NS
Huhtamaki PPL Ltd,INE275B01026,HUHTAMAKI.NS
ICICI Bank Ltd,INE090A01021,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd,INE765G01017,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd,INE726G01019,ICICIPRULI.NS
ICICI Securities Ltd,INE763G01038,ISEC.NS
ICRA Ltd,INE725G01011,ICRA.NS
IDBI Bank Ltd,INE008A01015,IDBI.NS
IDFC First Bank,INE092T01019,IDFCFIRSTB.NS
IDFC Ltd,INE043D01016,IDFC.NS
IIFL Finance,INE530B01024,IIFL.NS
Iifl Wealth Management,INE466L01020,IIFLWAM.NS
The India Cements,INE383A01012,INDIACEM.NS
Indiabulls Housing Finance Ltd,INE148I01020,IBULHSGFIN.NS
Indiabulls Real Estate Ltd,INE069I01010,IBREALEST.NS
Indiabulls Ventures Ltd,INE274G01010,DHANI.NS
IndiaMART InterMESH Ltd,INE933S01016,INDIAMART.NS
Indian Bank,INE562A01011,INDIANB.NS
Indian Energy Exchange Ltd,INE022Q01020,IEX.NS
Indian Oil Corporation Ltd,INE242A01010,IOC.NS
Indian Overseas Bank,INE565A01014,IOB.NS
Interglobe Aviation Ltd,INE646L01027,INDIGO.NS
Indoco Remedies Ltd,INE873D01024,INDOCO.NS
IndoStar Capital Finance Ltd,INE896L01010,INDOSTAR.NS
Indraprastha Gas Ltd,INE203G01027,IGL.NS
IndusInd Bank Ltd.,INE095A01012,INDUSINDBK.NS
